head_name,group_col,group_value,rows,accuracy_pct
management_exit_risk_head,month,2025-07,13049,64.296
management_exit_risk_head,month,2025-08,12533,67.757
management_exit_risk_head,month,2025-09,12446,67.178
management_exit_risk_head,month,2025-10,13682,68.565
management_exit_risk_head,month,2025-11,11258,66.948
management_exit_risk_head,month,2025-12,13021,66.255
management_exit_risk_head,month,2026-01,11905,69.341
management_exit_risk_head,month,2026-02,12035,65.077
management_exit_risk_head,month,2026-03,13769,72.569
management_exit_risk_head,month,2026-04,3674,69.08
management_exit_risk_head,fold_490_dual,1.0,23185,65.862
management_exit_risk_head,fold_490_dual,2.0,23171,68.094
management_exit_risk_head,fold_490_dual,3.0,23079,66.415
management_exit_risk_head,fold_490_dual,4.0,23372,67.547
management_exit_risk_head,fold_490_dual,5.0,24565,70.189
management_runner_preservation_head,scanner_source_bucket,both_george_and_kumo,894,80.089
management_runner_preservation_head,scanner_source_bucket,george_only,918,80.61
management_runner_preservation_head,scanner_source_bucket,kumo_only,112746,72.943
management_runner_preservation_head,scanner_source_bucket,kumo_with_george_video_context,2814,62.722
management_runner_preservation_head,month,2025-07,13049,77.914
management_runner_preservation_head,month,2025-08,12533,73.925
management_runner_preservation_head,month,2025-09,12446,72.57
management_runner_preservation_head,month,2025-10,13682,79.586
management_runner_preservation_head,month,2025-11,11258,70.51
management_runner_preservation_head,month,2025-12,13021,67.783
management_runner_preservation_head,month,2026-01,11905,63.184
management_runner_preservation_head,month,2026-02,12035,72.455
management_runner_preservation_head,month,2026-03,13769,76.861
management_runner_preservation_head,month,2026-04,3674,68.563
management_runner_preservation_head,fold_490_dual,1.0,23185,75.799
management_runner_preservation_head,fold_490_dual,2.0,23171,75.828
management_runner_preservation_head,fold_490_dual,3.0,23079,71.108
management_runner_preservation_head,fold_490_dual,4.0,23372,66.272
management_runner_preservation_head,fold_490_dual,5.0,24565,74.973
